股票代码_firm_id,供应链年份_year,行业_industry,核心企业代码_core,标签_label,总资产净利率ROA_var1,总资产报酬率ROA_var2,净资产收益率ROE_var3,销售净利率_var4,成本费用利润率_var5,营业利润／营业总收入_var6,资产负债率_var7,流动比率_var8,速动比率_var9,现金比率_var10,现金流量利息保障倍数_var11,营业收入净含量=经活现流净÷营总收_var12,经活现流净÷流负_var13,带息负债率_var14,总资产周转率_var15,净资产周转率_var16,现金周转率_var17,营运资金周转率_var18,基本每股收益（同比增长率）_var19,总资产（同比增长率）_var20,净资产（同比增长率）_var21,净利润（同比增长率）_var22,经营活动产生的现金流量净额（同比增长率）_var23,营业总收入（同比增长率）_var24,利润总额（同比增长率）_var25,研发人员数量占比_var26,研发投入总额占营业收入比例_var27,本科生人数占比_var28,ln(上市天数)_var29,应收账款周转率_var30,存货周转率_var31,营业周期_var32,净营业周期_var33,应收账坏账比例=应收账坏准÷总应收账_var34,存货跌价比例=存货跌准÷总存货_var35,预付账款÷流资_var36,核心企业总资产（同比增长率）_var37,核心企业总资产净利率ROA_var38,核心企业总资产报酬率ROA_var39,核心企业净资产收益率ROE_var40,核心企业总资产周转率_var41,核心企业现金比率_var42,核心企业营业利润／营业总收入_var43,核心企业资产负债率_var44,核心企业流动比率_var45,核心企业速动比率_var46,核心企业ln(资产总计)_var47,核心企业ln（经营活动产生的现金流量净额）_var48,行业流动比率_var49,行业速动比率_var50,行业利息保障倍数A_var51,行业资产负债率_var52,行业资产报酬率B_var53,行业总资产净利润率(ROA)B_var54,行业净资产收益率B_var55,行业总资产增长率_var56,行业净利润增长率_var57,客户集中度1_var58,供应商集中度1_var59,客户集中度2_var60,供应商集中度2_var61,客户集中度3_var62,供应商集中度3_var63,供应链集中度_var64,销售额/采购额占比_var65,信息化水平_var66,协同处理能力_var67
300040,2017,C38,2202,1,3.0264,3.6239,5.49,7.0091,9.2192,8.5883,50.6835,1.708,1.2369,10.7449,-2711.6656,-15.9662263052596,-17.9889469895906,56.2284,0.4318,0.7826,1333.01,1.5527,-25.641,33.5558,4.5332,-23.3003,-299.0435,8.2398,-20.6834,22.88,3.37,27.9428,7.97728198675515,1.3471,3.3635,374.2721,219.5532,9.6160044323037,0.713456760976441,0.99000474086728,12.9594,4.5893,6.1699,15.04,0.3663,26.1895,13.9624,67.7487,1.1176,0.9067,25.0108147367716,21.8296640065734,1.378508,1.121037,9.031655,0.569424,0.062136,0.054102,0.123121,0.220415,0.104634,18.44,13.44,46.0,31.97,5.528362,2.702803,38.99,5.17,0.142869567183624,4.09135
872351,2017,G58,600018,0,5.8668,9.7045,14.97,2.5689,3.6583,3.5956,66.0028,1.1483,1.0986,31.3515,550.8928,3.6293387068736,11.9241823250174,30.7794,2.2838,6.1005,1590.2945,16.5592,-34.0606,90.4878,47.2285,42.4596,149.0015,23.8857,45.1312,17.06,4.65,40.1575,0.0,4.8665,78.6917970000006,74.7398,27.9276,1.28454128104553,0.0,2.61988455531667,20.9361,9.9577,12.8596,17.918,0.2901,53.2203,35.2927,45.4409,1.3199,0.624,25.6736903339633,22.9861460608989,1.8015,1.691803,17.159692,0.394998,0.103879,0.09515,0.156925,0.199401,0.436526,5.57,9.67,21.92,34.9,1.01629,2.643882,28.41,5.99,0.248049398321022,40.1540985000003
831856,2017,C35,600028,0,9.3687,10.724,14.35,11.7098,15.1771,11.8085,34.9611,2.942,2.2871,86.0467,31782.3321,8.29479048552379,22.4552187551367,6.0461,0.8001,1.2228,501.1314,1.4558,-11.1111,14.1049,12.6455,1.0867,282.1174,5.8972,-3.8993,17.79,4.1086,17.3554,0.0,2.5178,2.982,263.7063,172.222,9.2602245142913,2.12947251984543,2.38237848829839,6.4657,4.5437,5.6213,7.14,1.5256,37.3115,3.6847,46.4702,0.913,0.5477,28.0982107897126,25.9751988929369,1.580063,1.18515,4.631769,0.512827,0.040511,0.030384,0.063865,0.071715,1.571249,8.44,28.4,22.09,44.49,1.198527,8.852095,33.29,4.63,0.275066623828793,6.9991
300310,2017,C39,600050,0,5.5624,6.4135,7.58,8.404,11.3093,10.0353,21.8209,2.3762,1.8632,85.4074,4159.8507,2.86282773826941,7.53429178923076,5.9752,0.6619,0.8724,272.4195,1.9828,22.7273,40.0021,51.0284,30.1846,-27.8282,41.8196,30.1023,21.79,3.75,44.5618,7.63819824428578,3.575,6.105,159.6674,81.0854,6.73819096594853,1.17463774681804,1.18549174405704,-6.8663,0.2831,1.0019,0.49,0.4621,15.96,0.5506,46.4768,0.3177,0.2694,27.0752283520651,25.2378039759027,1.496692,1.207865,5.740404,0.522202,0.051095,0.041147,0.085742,0.155117,0.354227,20.38,7.4,53.65,16.43,7.617737,0.755635,35.04,14.68,0.0827787090640966,47.37465
838924,2017,I65,600050,0,2.3458,3.0106,4.11,2.9183,4.0053,3.8073,47.2662,1.8001,1.634,46.6278,-48526.978778,-8.89136771483409,-13.73531301424,0.5505,0.8038,1.3734,253.0654,1.6334,-50.0,25.6674,4.1918,-38.0666,-288.8399,33.945,-37.2936,14.55,4.74,40.6061,0.0,1.9332,5.6541,249.8903,82.4095,5.67559418123355,5.02686243225592,0.935045958528977,-6.8663,0.2831,1.0019,0.49,0.4621,15.96,0.5506,46.4768,0.3177,0.2694,27.0752283520651,25.2378039759027,1.872884,1.582274,19.207956,0.375062,0.052537,0.049427,0.077277,0.190871,0.016995,37.23,5.08,88.54,21.02,23.230808,0.898834,54.78,37.23,0.0504250623200341,47.1492
300049,2017,C35,600056,0,3.8239,6.5895,4.82,11.047,19.4015,19.5931,22.8154,5.6593,4.2968,284.0123,4017.5182,14.848127551686,57.8846464435492,15.4908,0.3462,0.4523,119.4071,0.833,-41.3043,4.3165,2.2549,-36.6353,-15.2395,2.7434,-13.8989,20.45,10.13,24.5902,7.97315543344413,3.4694,3.0715,220.9709,133.7743,8.03138689601422,0.22895960409078,1.98482013037009,8.4702,7.5791,10.0692,17.7,1.4789,32.1208,6.6621,58.0677,1.6701,1.1698,23.7766128748152,20.0483098007255,1.580063,1.18515,4.631769,0.512827,0.040511,0.030384,0.063865,0.071715,1.571249,5.42,20.13,19.02,49.93,0.79217,6.899269,34.48,5.42,0.161741443887445,4.35385
833781,2017,C35,600089,0,2.0335,2.667,4.54,2.9109,2.8572,2.0446,59.2496,1.4101,0.7922,22.4912,977.2793,10.4955621534628,11.1120104998705,21.6591,0.6986,1.5606,623.7466,2.8329,0.0,28.1747,4.6482,76.805,134.2784,30.2651,68.7883,17.79,4.3303,16.2722,0.0,2.8232,1.8606,321.0009,212.9804,15.3161956845436,3.82680318887764,7.67542296222029,11.4736,3.3319,4.4269,8.24,0.4828,46.704,7.6916,59.3054,1.3156,0.9166,25.1492826477737,21.3043084502131,1.580063,1.18515,4.631769,0.512827,0.040511,0.030384,0.063865,0.071715,1.571249,23.19,12.74,56.5,31.36,8.368102,2.519366,43.93,5.93,0.295567347488818,2.26885
835985,2017,C38,600089,0,8.532,11.0737,28.46,3.6839,3.9154,4.1597,74.444,1.1028,0.3406,13.8059,3188.7795,23.0732626263536,58.0715809020455,26.0895,2.304364,6.18009000000001,3842.5127,16.681664,75.0,82.3972,41.4797,103.6016,416.6247,77.0178,86.9439,14.4621,3.06,6.1005,0.0,13.6958,14.8251,50.5685,18.1454,5.60227436510142,2.26125288668944,4.95052249438224,11.4736,3.3319,4.4269,8.24,0.4828,46.704,7.6916,59.3054,1.3156,0.9166,25.1492826477737,21.3043084502131,1.378508,1.121037,9.031655,0.569424,0.062136,0.054102,0.123121,0.220415,0.104634,17.23,10.95,43.57,31.98,4.710655,2.3099,37.78,6.65,0.19570583234533,8.7511
300733,2017,C36,600104,0,9.8407,12.8611,17.76,16.4026,23.2923,18.4246,43.2493,1.2127,0.7243,18.7588,497.5896,12.5699096780406,16.8507024748518,45.5506,0.5999,1.082,1317.5473,12.0789,9.0909,14.7655,20.7055,8.92,-17.1924,-4.9641,9.4876,7.2,4.15,3.848133,0.0,4.3436,2.5823,222.2912,120.0765,5.62511201454797,4.62688453620959,7.86066248231178,22.4853,7.1705,8.26,16.87,1.3057,32.3313,6.215,62.3921,0.9974,0.5186,27.3074121750055,23.9137862988883,1.146231,0.977804,18.827385,0.591203,0.058552,0.054998,0.134331,0.177474,0.071422,27.42,9.49,80.46,30.76,16.70507,2.095351,55.61,23.04,0.224768759753046,9.8163
430418,2017,C34,600104,0,16.6465,19.1495,25.66,16.7288,23.504,16.6764,34.2867,2.5997,2.0987,96.5414,29036.5497,13.1050504700624,52.0021919371308,31.5204,0.9951,1.5155,390.0793,2.3997,14.4928,19.6391,19.8455,26.2727,6.9692,29.1502,24.728,18.58,5.09,20.3562,0.0,5.4551,6.5294,121.1285,22.0123,10.373149886306,10.4584058877903,2.81019015710675,22.4853,7.1705,8.26,16.87,1.3057,32.3313,6.215,62.3921,0.9974,0.5186,27.3074121750055,23.9137862988883,1.393609,1.07539,7.563222,0.565064,0.033715,0.028646,0.065076,0.127522,0.13487,9.18,7.25,24.82,29.04,1.492662,1.805336,26.93,5.56,0.142898528077863,11.78985
